id,address,style,year,lat,lon
400,315 N Pinckney St,Flat,1884,43.078201,-89.386075
401,114 E Johnson St,Flat,1884,43.0782049,-89.385602
402,14 W Gilman St,Old Style,1884,43.077927,-89.389562
403,128 W Gilman St,Flat,1884,43.076904,-89.391011
404,219 W Gilman St,Old Style,1884,43.075418,-89.3920592
405,1126 Drake St,Old Style,1884,43.062368,-89.404997
406,315 S Mills St,Bungalow,1884,43.063617,-89.403719
407,1023 Drake St,Flat,1884,43.061741,-89.40335
408,522 W Doty St,Flat,1884,43.068274,-89.389701
409,4213 Milwaukee St,Old Style,1885,43.098156,-89.311953
410,520 E Johnson St,Flat,1885,43.080691,-89.381902
411,433 W Mifflin St,Old Style,1885,43.07126,-89.39072
412,111 S Hancock St,Old Style,1885,43.076405,-89.378593
413,730 E Johnson St,Old Style,1885,43.0827979,-89.379077
414,1204 E Johnson St,Old Style,1885,43.088515,-89.370891
415,308 N Broom St,Old Style,1885,43.073566,-89.3922089
416,19 N Bassett St,Bungalow,1885,43.070813,-89.391249
417,1238 E Dayton St,Old Style,1885,43.088639,-89.368991
418,1023 Emerald St,Old Style,1885,43.060642,-89.403344
419,608 E Mifflin St,Bungalow,1885,43.079796,-89.379783
420,16 N Bassett St,Flat,1885,43.070426,-89.391546
421,1238 Williamson St,Old Style,1885,43.084299,-89.363381
422,514 W Washington Ave,Flat,1885,43.070028,-89.391578
423,2837 Hoard St,Old Style,1885,43.104887,-89.343707
424,1151 E Johnson St,Victorian georgian regency,1885,43.087927,-89.370773
425,1100 E Johnson St,Flat,1885,43.087269,-89.372606
426,736 E Johnson St,Old Style,1885,43.082923,-89.378899
427,112 N Hancock St,Flat,1885,43.078351,-89.382098
428,1806 Keyes Ave,Old Style,1885,43.066391,-89.417203
429,124 W Gilman St,Flat,1885,43.077011,-89.39086
430,175 Talmadge St,Apartment,1885,43.095494,-89.345951
431,505 W Mifflin St,Flat,1885,43.07051,-89.391867
432,306 Knutson Dr,Flat,1885,43.141967,-89.395127
433,841 E Gorham St,Bungalow,1885,43.084565,-89.377278
